Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR
21/11/14,Metz,Paris SG,2.0,3.0,A,14.0,14.0,4.0,9.0,3.0,3.0,16.0,13.0,4.0,1.0,0.0,0.0
22/11/14,Bastia,Lyon,0.0,0.0,D,9.0,7.0,2.0,1.0,4.0,6.0,19.0,17.0,4.0,1.0,0.0,0.0
22/11/14,Guingamp,Rennes,0.0,1.0,A,16.0,13.0,2.0,5.0,7.0,4.0,11.0,17.0,2.0,3.0,0.0,0.0
22/11/14,Lorient,Lens,1.0,0.0,H,24.0,5.0,13.0,1.0,8.0,1.0,14.0,14.0,1.0,0.0,0.0,1.0
22/11/14,Monaco,Caen,2.0,2.0,D,25.0,13.0,9.0,3.0,7.0,4.0,9.0,17.0,0.0,2.0,0.0,0.0
22/11/14,Nice,Reims,0.0,0.0,D,13.0,10.0,3.0,2.0,6.0,5.0,13.0,15.0,2.0,2.0,0.0,0.0
23/11/14,Marseille,Bordeaux,3.0,1.0,H,26.0,12.0,12.0,4.0,4.0,7.0,11.0,15.0,0.0,1.0,0.0,0.0
23/11/14,Montpellier,Toulouse,2.0,0.0,H,19.0,7.0,7.0,1.0,2.0,5.0,15.0,18.0,1.0,2.0,0.0,0.0
23/11/14,Nantes,St Etienne,0.0,0.0,D,11.0,13.0,7.0,5.0,7.0,3.0,17.0,11.0,2.0,3.0,0.0,0.0
28/11/14,Marseille,Nantes,2.0,0.0,H,15.0,13.0,4.0,4.0,5.0,8.0,9.0,11.0,1.0,2.0,0.0,0.0
29/11/14,Caen,Montpellier,1.0,1.0,D,21.0,8.0,8.0,4.0,7.0,6.0,11.0,11.0,2.0,0.0,0.0,0.0
29/11/14,Lens,Metz,2.0,0.0,H,15.0,6.0,4.0,1.0,5.0,1.0,8.0,17.0,1.0,3.0,0.0,0.0
29/11/14,Paris SG,Nice,1.0,0.0,H,10.0,9.0,2.0,4.0,4.0,5.0,7.0,12.0,1.0,2.0,0.0,0.0
29/11/14,Reims,Bastia,2.0,1.0,H,11.0,7.0,4.0,3.0,6.0,3.0,14.0,10.0,0.0,1.0,0.0,0.0
29/11/14,Rennes,Monaco,2.0,0.0,H,6.0,9.0,3.0,3.0,5.0,7.0,10.0,9.0,1.0,2.0,0.0,0.0
29/11/14,Toulouse,Lorient,2.0,3.0,A,14.0,15.0,4.0,9.0,1.0,4.0,15.0,7.0,1.0,0.0,0.0,0.0
30/11/14,Bordeaux,Lille,1.0,0.0,H,13.0,7.0,2.0,1.0,5.0,2.0,8.0,11.0,0.0,1.0,0.0,0.0
30/11/14,Evian Thonon Gaillard,Guingamp,2.0,0.0,H,9.0,12.0,3.0,5.0,4.0,5.0,13.0,8.0,1.0,1.0,0.0,0.0
30/11/14,St Etienne,Lyon,3.0,0.0,H,11.0,12.0,5.0,3.0,4.0,6.0,22.0,13.0,1.0,0.0,0.0,0.0
02/12/14,Lorient,Marseille,1.0,1.0,D,11.0,16.0,3.0,8.0,4.0,5.0,9.0,14.0,0.0,1.0,0.0,0.0
02/12/14,Monaco,Lens,2.0,0.0,H,8.0,14.0,5.0,3.0,5.0,2.0,12.0,19.0,0.0,2.0,1.0,0.0
02/12/14,Nantes,Toulouse,1.0,2.0,A,17.0,8.0,4.0,2.0,3.0,4.0,10.0,15.0,1.0,3.0,0.0,0.0
03/12/14,Bastia,Evian Thonon Gaillard,1.0,2.0,A,10.0,8.0,3.0,4.0,10.0,2.0,18.0,13.0,4.0,3.0,0.0,0.0
03/12/14,Guingamp,Caen,5.0,1.0,H,17.0,5.0,9.0,2.0,6.0,4.0,9.0,13.0,2.0,1.0,0.0,1.0
03/12/14,Lille,Paris SG,1.0,1.0,D,18.0,15.0,5.0,8.0,2.0,7.0,14.0,16.0,0.0,1.0,0.0,0.0
03/12/14,Metz,Bordeaux,0.0,0.0,D,10.0,13.0,4.0,1.0,4.0,3.0,21.0,15.0,3.0,2.0,0.0,0.0
03/12/14,Montpellier,St Etienne,0.0,2.0,A,9.0,9.0,3.0,6.0,6.0,3.0,10.0,22.0,2.0,0.0,0.0,1.0
03/12/14,Nice,Rennes,1.0,2.0,A,10.0,4.0,3.0,2.0,7.0,0.0,13.0,16.0,2.0,1.0,0.0,0.0
04/12/14,Lyon,Reims,2.0,1.0,H,17.0,12.0,5.0,5.0,4.0,3.0,20.0,14.0,1.0,1.0,0.0,0.0
05/12/14,Toulouse,Monaco,0.0,2.0,A,11.0,10.0,1.0,5.0,6.0,7.0,15.0,13.0,1.0,2.0,0.0,0.0
06/12/14,Bordeaux,Lorient,3.0,2.0,H,23.0,15.0,11.0,4.0,13.0,5.0,8.0,6.0,0.0,1.0,0.0,0.0
06/12/14,Caen,Nice,2.0,3.0,A,15.0,18.0,5.0,10.0,7.0,5.0,18.0,14.0,2.0,1.0,0.0,0.0
06/12/14,Paris SG,Nantes,2.0,1.0,H,12.0,3.0,4.0,2.0,5.0,2.0,10.0,16.0,1.0,2.0,0.0,0.0
06/12/14,Rennes,Montpellier,0.0,4.0,A,15.0,11.0,3.0,10.0,7.0,2.0,9.0,14.0,2.0,1.0,0.0,0.0
